rep,id,rho,kappa,psi,phi,beta,alpha,delta,theta,scaling,GROUP
3,12,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.84298,5714.73,ctrl
4,12,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.3075,5714.73,ctrl
5,12,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.64346,5714.73,ctrl
6,12,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.34138,5714.73,ctrl
7,12,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.48598,5714.73,ctrl
8,12,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.57019,5714.73,ctrl
9,12,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.0419442,5714.73,ctrl
10,12,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.2624,5714.73,ctrl
1,13,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.843727,5714.73,ctrl
2,13,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.03512,5714.73,ctrl
3,13,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.06219,5714.73,ctrl
4,13,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.49579,5714.73,ctrl
5,13,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.576037,5714.73,ctrl
6,13,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.3292,5714.73,ctrl
7,13,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.12621,5714.73,ctrl
8,13,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.864646,5714.73,ctrl
9,13,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.38503,5714.73,ctrl
10,13,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.730096,5714.73,ctrl
1,14,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.226021,5714.73,ctrl
2,14,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.337052,5714.73,ctrl
3,14,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.245894,5714.73,ctrl
4,14,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.249906,5714.73,ctrl
5,14,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.424508,5714.73,ctrl
6,14,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.722536,5714.73,ctrl
7,14,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.614805,5714.73,ctrl
8,14,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.326168,5714.73,ctrl
9,14,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.498652,5714.73,ctrl
10,14,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.10686,5714.73,ctrl
1,15,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.508242,5714.73,ctrl
2,15,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.0451393,5714.73,ctrl
3,15,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.210697,5714.73,ctrl
4,15,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.344844,5714.73,ctrl
5,15,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.355035,5714.73,ctrl
6,15,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.406969,5714.73,ctrl
7,15,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.339116,5714.73,ctrl
8,15,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.253272,5714.73,ctrl
9,15,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.264441,5714.73,ctrl
10,15,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.44716,5714.73,ctrl
1,16,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.0450774,5714.73,ctrl
2,16,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.637932,5714.73,ctrl
3,16,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.385557,5714.73,ctrl
4,16,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.487744,5714.73,ctrl
5,16,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.400039,5714.73,ctrl
6,16,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.126037,5714.73,ctrl
7,16,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.312803,5714.73,ctrl
8,16,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.325719,5714.73,ctrl
9,16,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.952471,5714.73,ctrl
10,16,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.48166,5714.73,ctrl
