iteration,convergenceIndicator,phase,theta_pop,omega_theta,b
192,3079.43,1,-0.207262,0.542103,0.411528
193,3084.43,1,-0.212057,0.528376,0.425461
194,3084.57,1,-0.229043,0.514997,0.430244
195,3082.94,1,-0.171476,0.510841,0.418478
196,3082.28,1,-0.170907,0.497906,0.422242
197,3080.3,1,-0.197153,0.516187,0.41595
198,3084.54,1,-0.245593,0.568672,0.419137
199,3082.39,1,-0.200705,0.554273,0.417906
200,3084.34,1,-0.231381,0.540238,0.424128
201,3086.44,1,-0.224389,0.598802,0.420957
202,3089.47,1,-0.12116,0.600874,0.417446
203,3083.55,2,-0.233196,0.585659,0.421391
204,3086.41,2,-0.239195,0.581348,0.425307
205,3082.75,2,-0.189577,0.544868,0.416726
206,3083.93,2,-0.192427,0.558921,0.421235
207,3089.25,2,-0.219947,0.553995,0.433477
208,3086.35,2,-0.219087,0.535455,0.429133
209,3082.13,2,-0.262721,0.551101,0.423269
210,3088.13,2,-0.152794,0.553045,0.417232
211,3081.03,2,-0.191328,0.539343,0.415282
212,3080.59,2,-0.209148,0.49357,0.41863
213,3077.93,2,-0.222436,0.463511,0.41668
214,3080.93,2,-0.203981,0.491383,0.414863
215,3092.93,2,-0.184823,0.540993,0.429205
216,3081.5,2,-0.235848,0.51756,0.427567
217,3079.44,2,-0.230638,0.507451,0.419537
218,3077.06,2,-0.217522,0.49382,0.417197
219,3082.27,2,-0.22808,0.51873,0.419242
220,3085.28,2,-0.203461,0.546731,0.416284
221,3079.86,2,-0.222043,0.5422,0.415572
222,3081.74,2,-0.227195,0.54821,0.415165
223,3088.56,2,-0.214189,0.559745,0.418547
224,3089.81,2,-0.192585,0.568856,0.418316
225,3081.07,2,-0.192905,0.552377,0.416787
226,3088.61,2,-0.164767,0.546054,0.418416
227,3082.81,2,-0.166594,0.53269,0.417184
228,3080.16,2,-0.160552,0.525362,0.414316
229,3083.55,2,-0.167014,0.531618,0.41492
230,3084.96,2,-0.171858,0.543274,0.415697
231,3080.85,2,-0.176135,0.531695,0.414302
232,3088.49,2,-0.168694,0.529076,0.416536
233,3087.2,2,-0.157378,0.535598,0.415397
234,3079.14,2,-0.169327,0.531818,0.413998
