ID,time,DV,median,piLower,piUpper,censored,color,filter
18,2,4.76606e+06,3.21676e+06,1.11297e+06,6.38464e+06,0,#4682B4,0
18,3,5.0622e+06,3.63088e+06,1.07029e+06,6.29361e+06,0,#4682B4,0
18,4,5.96874e+06,3.85391e+06,1.33148e+06,6.55731e+06,0,#4682B4,0
19,0,4.37089e+06,2.38383e+06,721959,5.56125e+06,0,#4682B4,0
19,1,3.8127e+06,2.8201e+06,746144,6.32943e+06,0,#4682B4,0
19,2,4.91628e+06,3.33609e+06,848353,6.40171e+06,0,#4682B4,0
19,3,4.43313e+06,3.64163e+06,1.07552e+06,6.59927e+06,0,#4682B4,0
19,4,5.16128e+06,3.88894e+06,1.10365e+06,6.50815e+06,0,#4682B4,0
20,0,4.71828e+06,2.24596e+06,542116,5.57378e+06,0,#4682B4,0
20,1,4.81726e+06,2.67682e+06,680896,5.90265e+06,0,#4682B4,0
20,2,5.59225e+06,3.25276e+06,677563,6.05472e+06,0,#4682B4,0
20,3,6.14195e+06,3.65565e+06,1.07202e+06,6.42029e+06,0,#4682B4,0
20,4,6.5884e+06,3.9138e+06,1.3952e+06,6.81408e+06,0,#4682B4,0
