popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
1.39195e+06,1.45029e+06,1.39195e+06,431136,2.35276e+06,1.36183e+06,1.22855e+06,1.36183e+06,421806,2.30185e+06,All
1.42036e+06,1.48503e+06,1.42036e+06,439938,2.40079e+06,1.40397e+06,1.28236e+06,1.40397e+06,434860,2.37308e+06,All
1.4315e+06,1.49864e+06,1.4315e+06,443385,2.41961e+06,1.41949e+06,1.30135e+06,1.41949e+06,439667,2.39931e+06,All
1.47217e+06,1.54836e+06,1.47217e+06,455983,2.48835e+06,1.44742e+06,1.33499e+06,1.44742e+06,448318,2.44652e+06,All
1.4812e+06,1.5594e+06,1.4812e+06,458780,2.50362e+06,1.48732e+06,1.38161e+06,1.48732e+06,460676,2.51397e+06,All
1.51399e+06,1.59941e+06,1.51399e+06,468938,2.55905e+06,1.49221e+06,1.38732e+06,1.49221e+06,462192,2.52224e+06,All
1.54203e+06,1.63057e+06,1.54203e+06,477622,2.60644e+06,1.53839e+06,1.44118e+06,1.53839e+06,476496,2.60029e+06,All
1.55701e+06,1.64721e+06,1.55701e+06,482262,2.63176e+06,1.55515e+06,1.46073e+06,1.55515e+06,481686,2.62862e+06,All
1.60125e+06,1.69637e+06,1.60125e+06,495964,2.70653e+06,1.586e+06,1.49659e+06,1.586e+06,491242,2.68077e+06,All
1.60287e+06,1.69817e+06,1.60287e+06,496465,2.70927e+06,1.62298e+06,1.53862e+06,1.62298e+06,502695,2.74327e+06,All
1.64674e+06,1.74692e+06,1.64674e+06,510055,2.78343e+06,1.63509e+06,1.55231e+06,1.63509e+06,506445,2.76373e+06,All
1.6637e+06,1.76577e+06,1.6637e+06,515307,2.81209e+06,1.68569e+06,1.60937e+06,1.68569e+06,522118,2.84926e+06,All
1.69353e+06,1.79891e+06,1.69353e+06,524547,2.86251e+06,1.69081e+06,1.61513e+06,1.69081e+06,523705,2.85792e+06,All
1.72453e+06,1.83337e+06,1.72453e+06,534150,2.91492e+06,1.73786e+06,1.66808e+06,1.73786e+06,538276,2.93744e+06,All
1.74165e+06,1.85238e+06,1.74165e+06,539450,2.94384e+06,1.75864e+06,1.69148e+06,1.75864e+06,544714,2.97257e+06,All
1.78537e+06,1.90097e+06,1.78537e+06,552992,3.01774e+06,1.79164e+06,1.72861e+06,1.79164e+06,554934,3.02834e+06,All
1.79113e+06,1.90737e+06,1.79113e+06,554777,3.02748e+06,1.82647e+06,1.76782e+06,1.82647e+06,565724,3.08722e+06,All
1.84202e+06,1.96392e+06,1.84202e+06,570539,3.1135e+06,1.84708e+06,1.79102e+06,1.84708e+06,572108,3.12206e+06,All
1.8462e+06,1.96857e+06,1.8462e+06,571835,3.12057e+06,1.8943e+06,1.84485e+06,1.8943e+06,586733,3.20187e+06,All
1.89436e+06,2.02208e+06,1.89436e+06,586750,3.20196e+06,1.90425e+06,1.85629e+06,1.90425e+06,589813,3.21868e+06,All
1.90704e+06,2.03617e+06,1.90704e+06,590677,3.22339e+06,1.96213e+06,1.9234e+06,1.96213e+06,607743,3.31653e+06,All
1.94818e+06,2.08189e+06,1.94818e+06,603420,3.29294e+06,1.96318e+06,1.92465e+06,1.96318e+06,608067,3.31829e+06,All
1.96787e+06,2.10377e+06,1.96787e+06,609519,3.32622e+06,2.02393e+06,1.99739e+06,2.02393e+06,626885,3.42098e+06,All
2.00353e+06,2.1434e+06,2.00353e+06,620565,3.3865e+06,2.02996e+06,2.00461e+06,2.02996e+06,628752,3.43118e+06,All
2.0287e+06,2.17137e+06,2.0287e+06,628362,3.42905e+06,2.08657e+06,2.07294e+06,2.08657e+06,646285,3.52685e+06,All
2.06045e+06,2.20665e+06,2.06045e+06,638196,3.48271e+06,2.09779e+06,2.08718e+06,2.09779e+06,649762,3.54583e+06,All
2.08954e+06,2.23897e+06,2.08954e+06,647204,3.53187e+06,2.15114e+06,2.15488e+06,2.15114e+06,666286,3.636e+06,All
2.119e+06,2.2717e+06,2.119e+06,656329,3.58166e+06,2.16563e+06,2.17326e+06,2.16563e+06,670771,3.66048e+06,All
2.15037e+06,2.30657e+06,2.15037e+06,666047,3.6347e+06,2.21772e+06,2.24124e+06,2.21772e+06,686906,3.74853e+06,All
2.1792e+06,2.33861e+06,2.1792e+06,674976,3.68343e+06,2.23346e+06,2.26266e+06,2.23346e+06,691781,3.77513e+06,All
2.21121e+06,2.37417e+06,2.21121e+06,684889,3.73752e+06,2.28635e+06,2.33567e+06,2.28635e+06,708164,3.86453e+06,All
2.24112e+06,2.40741e+06,2.24112e+06,694154,3.78808e+06,2.30129e+06,2.35708e+06,2.30129e+06,712790,3.88978e+06,All
2.27204e+06,2.44177e+06,2.27204e+06,703732,3.84035e+06,2.35711e+06,2.43708e+06,2.35711e+06,730080,3.98413e+06,All
2.30479e+06,2.47817e+06,2.30479e+06,713876,3.89571e+06,2.36912e+06,2.4543e+06,2.36912e+06,733800,4.00443e+06,All
2.33287e+06,2.50937e+06,2.33287e+06,722574,3.94317e+06,2.43005e+06,2.54163e+06,2.43005e+06,752674,4.10743e+06,All
