time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
0.08,0.187865,0.08,0.34712,0.08,0.260201,2.119e+06,0.0137457,2.16563e+06,-0.025097,2.119e+06,0.0260666,All
0.0947323,0.187625,0.0947323,0.34617,0.0947323,0.259465,2.15037e+06,0.0193227,2.21772e+06,-0.0138459,2.15037e+06,0.033132,All
0.16,0.186562,0.16,0.341962,0.16,0.256205,2.1792e+06,0.0244474,2.23346e+06,-0.00957934,2.1792e+06,0.0396244,All
0.200267,0.185906,0.200267,0.339365,0.200267,0.254193,2.21121e+06,0.0301362,2.28635e+06,0.00573979,2.21121e+06,0.0468314,All
0.24,0.185258,0.24,0.336803,0.24,0.252208,2.24112e+06,0.0354532,2.30129e+06,0.0108022,2.24112e+06,0.0535674,All
0.32,0.183955,0.32,0.331645,0.32,0.248212,2.27204e+06,0.0409497,2.35711e+06,0.0297192,2.27204e+06,0.0605308,All
0.4,0.182652,0.4,0.326486,0.4,0.244215,2.30479e+06,0.0467716,2.36912e+06,0.0337899,2.30479e+06,0.0679065,All
0.423373,0.182271,0.423373,0.324979,0.423373,0.243048,2.33287e+06,0.0517631,2.43005e+06,0.0544407,2.33287e+06,0.0742302,All
0.48,0.181348,0.48,0.321328,0.48,0.240219,2.37028e+06,0.0584117,2.43695e+06,0.0568989,2.37028e+06,0.082653,All
0.56,0.180045,0.56,0.316169,0.56,0.236223,2.39371e+06,0.0625766,2.50478e+06,0.0827251,2.39371e+06,0.0879295,All
0.64,0.178742,0.64,0.311011,0.64,0.232226,2.43762e+06,0.0703824,2.50526e+06,0.0829075,2.43762e+06,0.0978185,All
0.72,0.177439,0.72,0.305853,0.72,0.22823,2.45454e+06,0.0733901,2.57261e+06,0.108803,2.45454e+06,0.101629,All
0.8,0.176135,0.8,0.300694,0.8,0.224233,2.50688e+06,0.0747481,2.58279e+06,0.112691,2.50688e+06,0.0996402,All
0.88,0.174832,0.88,0.295536,0.88,0.220237,2.51537e+06,0.074674,2.64044e+06,0.1343,2.51537e+06,0.0988067,All
0.895025,0.174587,0.895025,0.294567,0.895025,0.219486,2.57621e+06,0.0741435,2.66272e+06,0.14239,2.57621e+06,0.0928388,All
0.96,0.173529,0.96,0.290377,0.96,0.21624,2.5781e+06,0.074127,2.70827e+06,0.158394,2.5781e+06,0.0926528,All
1.04,0.169707,1.04,0.282476,1.04,0.209951,2.63704e+06,0.073613,2.74512e+06,0.170598,2.63704e+06,0.0868708,All
1.12,0.163367,1.12,0.271831,1.12,0.201368,2.65135e+06,0.0734882,2.7761e+06,0.180445,2.65135e+06,0.085467,All
1.2,0.157026,1.2,0.261186,1.2,0.192785,2.69788e+06,0.0803815,2.83008e+06,0.196593,2.69788e+06,0.0920183,All
1.28,0.150686,1.28,0.25054,1.28,0.184202,2.72668e+06,0.0872707,2.84393e+06,0.200513,2.72668e+06,0.100066,All
1.36,0.144346,1.36,0.239895,1.36,0.175619,2.75871e+06,0.0949299,2.91176e+06,0.219125,2.75871e+06,0.109014,All
1.44,0.138006,1.44,0.22925,1.44,0.167036,2.80415e+06,0.105798,2.91766e+06,0.220703,2.80415e+06,0.121709,All
1.52,0.131666,1.52,0.218605,1.52,0.158453,2.81954e+06,0.109478,2.97959e+06,0.23652,2.81954e+06,0.126009,All
1.6,0.125326,1.6,0.20796,1.6,0.149871,2.88038e+06,0.124027,3.00795e+06,0.243532,2.88038e+06,0.143004,All
1.68,0.118985,1.68,0.197315,1.68,0.141288,2.88383e+06,0.124851,3.04742e+06,0.253167,2.88383e+06,0.143967,All
1.76,0.112645,1.76,0.18667,1.76,0.132705,2.94121e+06,0.138575,3.10104e+06,0.265928,2.94121e+06,0.159999,All
1.84,0.106305,1.84,0.176025,1.84,0.124122,2.96576e+06,0.144446,3.11525e+06,0.269302,2.96576e+06,0.166858,All
1.89212,0.102175,1.89212,0.16909,1.89212,0.118531,3.00205e+06,0.153123,3.18308e+06,0.285398,3.00205e+06,0.176995,All
1.92,0.099965,1.92,0.16538,1.92,0.115539,3.05002e+06,0.156821,3.19701e+06,0.288703,3.05002e+06,0.181365,All
2,0.0936248,2,0.154734,2,0.106956,3.06288e+06,0.157374,3.25091e+06,0.301677,3.06288e+06,0.181947,All
2.08,0.0871702,2.08,0.147639,2.08,0.0984483,3.12371e+06,0.159991,3.29595e+06,0.31265,3.12371e+06,0.184697,All
2.16,0.0807156,2.16,0.140544,2.16,0.0899403,3.13668e+06,0.160549,3.31874e+06,0.318242,3.13668e+06,0.185283,All
2.24,0.074261,2.24,0.133449,2.24,0.0814324,3.18455e+06,0.162608,3.38657e+06,0.334927,3.18455e+06,0.187447,All
2.32,0.0678065,2.32,0.126354,2.32,0.0729244,3.2258e+06,0.164382,3.39795e+06,0.337714,3.2258e+06,0.189312,All
2.4,0.0613519,2.4,0.119259,2.4,0.0644164,3.24538e+06,0.165224,3.4544e+06,0.351506,3.24538e+06,0.190197,All
2.48,0.0548973,2.48,0.112164,2.48,0.0559085,3.30622e+06,0.167841,3.50311e+06,0.363261,3.30622e+06,0.192948,All
2.56,0.0484427,2.56,0.105069,2.56,0.0474005,3.31745e+06,0.168324,3.52223e+06,0.367788,3.31745e+06,0.193456,All
2.64,0.0419881,2.64,0.0979741,2.64,0.0388925,3.36705e+06,0.170458,3.59006e+06,0.383566,3.36705e+06,0.195698,All
2.72,0.0355335,2.72,0.090879,2.72,0.0303845,3.41171e+06,0.172379,3.61152e+06,0.38849,3.41171e+06,0.197717,All
2.8,0.029079,2.8,0.083784,2.8,0.0218766,3.42788e+06,0.173075,3.6579e+06,0.398771,3.42788e+06,0.198448,All
2.88,0.0226244,2.88,0.076689,2.88,0.0133686,3.48872e+06,0.1757,3.72329e+06,0.412517,3.48872e+06,0.201493,All
2.96,0.0161698,2.96,0.0695939,2.96,0.00486064,3.50864e+06,0.176562,3.72573e+06,0.413018,3.50864e+06,0.202579,All
3.04,0.0114075,3.04,0.0635239,3.04,-0.0020532,3.54955e+06,0.178332,3.79356e+06,0.426476,3.54955e+06,0.204809,All
3.12,0.00833755,3.12,0.0584789,3.12,-0.00737289,3.60833e+06,0.180876,3.83851e+06,0.43554,3.60833e+06,0.208013,All
3.2,0.00526759,3.2,0.0534338,3.2,-0.0126926,3.61038e+06,0.180965,3.86139e+06,0.440283,3.61038e+06,0.208125,All
3.28,0.00219762,3.28,0.0483888,3.28,-0.0180123,3.67122e+06,0.183598,3.92922e+06,0.455997,3.67122e+06,0.21144,All
3.36,-0.000872337,3.36,0.0433438,3.36,-0.023332,3.71085e+06,0.185313,3.95731e+06,0.463411,3.71085e+06,0.213601,All
3.44,-0.0039423,3.44,0.0382988,3.44,-0.0286517,3.73205e+06,0.18623,3.99705e+06,0.475513,3.73205e+06,0.214756,All
3.52,-0.00701226,3.52,0.0332537,3.52,-0.0339713,3.79289e+06,0.188863,4.06488e+06,0.500055,3.79289e+06,0.218072,All
3.6,-0.0100822,3.6,0.0282087,3.6,-0.039291,3.81628e+06,0.192653,4.07978e+06,0.505445,3.81628e+06,0.222298,All
3.68,-0.0131522,3.68,0.0231637,3.68,-0.0446107,3.85372e+06,0.200171,4.13271e+06,0.530181,3.85372e+06,0.230604,All
3.76,-0.0162221,3.76,0.0181187,3.76,-0.0499304,3.91455e+06,0.212387,4.20054e+06,0.569345,3.91455e+06,0.244101,All
3.84,-0.0192921,3.84,0.0130736,3.84,-0.0552501,3.92471e+06,0.214426,4.20603e+06,0.57276,3.92471e+06,0.246355,All
3.92,-0.0223621,3.92,0.0080286,3.92,-0.0605698,3.97539e+06,0.224602,4.26837e+06,0.616555,3.97539e+06,0.257598,All
4,-0.025432,4,0.00298357,4,-0.0658895,4.03622e+06,0.236818,4.3362e+06,0.675825,4.03622e+06,0.271095,All
