ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
13,0,2.46427e+06,-0.733908,-0.733908,1.26623e+06,0.312299,0.312299,1.15827e+06,0.563526,0.563526,2.46427e+06,-0.689036,-0.689036,0,All,#4682B4,0
13,1,3.00486e+06,-0.848569,-0.848569,1.783e+06,0.0398789,0.0398789,1.65392e+06,0.228962,0.228962,3.00486e+06,-0.839533,-0.839533,0,All,#4682B4,0
13,2,3.457e+06,-1.03485,-1.03485,2.35398e+06,-0.675742,-0.675742,2.21619e+06,-0.569604,-0.569604,3.457e+06,-1.0968,-1.0968,0,All,#4682B4,0
13,3,3.79865e+06,-1.30185,-1.30185,2.90831e+06,-1.08923,-1.08923,2.7746e+06,-1.02689,-1.02689,3.79865e+06,-1.2809,-1.2809,0,All,#4682B4,0
13,4,4.03622e+06,-1.3339,-1.3339,3.38296e+06,-1.1546,-1.1546,3.27305e+06,-1.11336,-1.11336,4.03622e+06,-1.27775,-1.27775,0,All,#4682B4,0
14,0,2.46427e+06,-0.389428,-0.389428,2.34618e+06,-0.413381,-0.413381,2.20456e+06,-0.286863,-0.286863,2.46427e+06,-0.297735,-0.297735,0,All,#4682B4,0
14,1,3.00486e+06,0.0655529,0.0655529,2.8987e+06,0.265102,0.265102,2.76814e+06,0.389999,0.389999,3.00486e+06,0.168701,0.168701,0,All,#4682B4,0
14,2,3.457e+06,0.594639,0.594639,3.37234e+06,0.71945,0.71945,3.26549e+06,0.82096,0.82096,3.457e+06,0.682841,0.682841,0,All,#4682B4,0
14,3,3.79865e+06,0.106743,0.106743,3.73697e+06,0.0607816,0.0607816,3.65748e+06,0.11389,0.11389,3.79865e+06,0.129682,0.129682,0,All,#4682B4,0
14,4,4.03622e+06,0.675204,0.675204,3.99502e+06,0.75726,0.75726,3.94076e+06,0.800498,0.800498,4.03622e+06,0.610862,0.610862,0,All,#4682B4,0
15,0,2.46427e+06,-0.236646,-0.236646,2.44204e+06,-0.215846,-0.215846,2.27188e+06,-0.0535361,-0.0535361,2.46427e+06,-0.103032,-0.103032,0,All,#4682B4,0
15,1,3.00486e+06,0.312643,0.312643,2.98511e+06,0.323337,0.323337,2.83034e+06,0.471328,0.471328,3.00486e+06,0.421852,0.421852,0,All,#4682B4,0
15,2,3.457e+06,0.405046,0.405046,3.44139e+06,0.390635,0.390635,3.31672e+06,0.494894,0.494894,3.457e+06,0.469236,0.469236,0,All,#4682B4,0
15,3,3.79865e+06,0.411276,0.411276,3.78731e+06,0.412275,0.412275,3.69562e+06,0.481621,0.481621,3.79865e+06,0.41669,0.41669,0,All,#4682B4,0
15,4,4.03622e+06,0.502324,0.502324,4.02856e+06,0.436773,0.436773,3.96678e+06,0.480694,0.480694,4.03622e+06,0.531921,0.531921,0,All,#4682B4,0
16,0,2.46427e+06,-0.203761,-0.203761,2.08621e+06,0.253909,0.253909,1.94185e+06,0.449948,0.449948,2.46427e+06,-0.0612046,-0.0612046,0,All,#4682B4,0
16,1,3.00486e+06,-0.0522431,-0.0522431,2.6566e+06,0.233581,0.233581,2.51447e+06,0.381484,0.381484,3.00486e+06,0.0348505,0.0348505,0,All,#4682B4,0
16,2,3.457e+06,-0.413831,-0.413831,3.17186e+06,-0.348148,-0.348148,3.04767e+06,-0.265231,-0.265231,3.457e+06,-0.417778,-0.417778,0,All,#4682B4,0
16,3,3.79865e+06,-0.213648,-0.213648,3.58666e+06,-0.145237,-0.145237,3.49077e+06,-0.0837708,-0.0837708,3.79865e+06,-0.193348,-0.193348,0,All,#4682B4,0
16,4,4.03622e+06,-0.0848816,-0.0848816,3.89102e+06,-0.176879,-0.176879,3.82103e+06,-0.136474,-0.136474,4.03622e+06,-0.0912712,-0.0912712,0,All,#4682B4,0
17,0,2.46427e+06,0.480069,0.480069,3.27516e+06,0.0321498,0.0321498,3.12642e+06,0.147051,0.147051,2.46427e+06,0.627736,0.627736,0,All,#4682B4,0
17,1,3.00486e+06,1.15652,1.15652,3.66414e+06,0.688872,0.688872,3.55159e+06,0.786214,0.786214,3.00486e+06,1.10487,1.10487,0,All,#4682B4,0
17,2,3.457e+06,1.00151,1.00151,3.94458e+06,0.587021,0.587021,3.86642e+06,0.647052,0.647052,3.457e+06,1.03976,1.03976,0,All,#4682B4,0
17,3,3.79865e+06,1.37137,1.37137,4.13284e+06,0.995998,0.995998,4.08321e+06,1.03707,1.03707,3.79865e+06,1.29834,1.29834,0,All,#4682B4,0
17,4,4.03622e+06,0.812665,0.812665,4.25328e+06,0.629728,0.629728,4.22526e+06,0.64971,0.64971,4.03622e+06,0.878891,0.878891,0,All,#4682B4,0
18,0,2.46427e+06,0.611512,0.611512,3.28202e+06,0.129341,0.129341,3.21107e+06,0.184852,0.184852,2.46427e+06,0.720464,0.720464,0,All,#4682B4,0
18,1,3.00486e+06,1.32966,1.32966,3.66925e+06,0.818754,0.818754,3.61607e+06,0.865835,0.865835,3.00486e+06,1.25497,1.25497,0,All,#4682B4,0
18,2,3.457e+06,0.812852,0.812852,3.94807e+06,0.493708,0.493708,3.9138e+06,0.518898,0.518898,3.457e+06,0.831411,0.831411,0,All,#4682B4,0
18,3,3.79865e+06,0.859521,0.859521,4.13499e+06,0.534336,0.534336,4.11364e+06,0.549475,0.549475,3.79865e+06,0.912478,0.912478,0,All,#4682B4,0
18,4,4.03622e+06,1.25514,1.25514,4.25441e+06,0.960213,0.960213,4.2433e+06,0.968961,0.968961,4.03622e+06,1.22675,1.22675,0,All,#4682B4,0
19,0,2.46427e+06,1.18097,1.18097,3.31908e+06,0.755153,0.755153,3.21034e+06,0.861439,0.861439,2.46427e+06,1.11924,1.11924,0,All,#4682B4,0
19,1,3.00486e+06,0.466147,0.466147,3.69671e+06,0.0747638,0.0747638,3.61553e+06,0.129952,0.129952,3.00486e+06,0.61262,0.61262,0,All,#4682B4,0
19,2,3.457e+06,0.872212,0.872212,3.96699e+06,0.570227,0.570227,3.91339e+06,0.610678,0.610678,3.457e+06,0.978803,0.978803,0,All,#4682B4,0
19,3,3.79865e+06,0.407226,0.407226,4.14842e+06,0.163542,0.163542,4.11336e+06,0.185247,0.185247,3.79865e+06,0.402293,0.402293,0,All,#4682B4,0
19,4,4.03622e+06,0.771192,0.771192,4.26443e+06,0.50115,0.50115,4.24305e+06,0.515683,0.515683,4.03622e+06,0.833227,0.833227,0,All,#4682B4,0
20,0,2.46427e+06,1.30171,1.30171,3.83282e+06,0.550509,0.550509,3.72974e+06,0.631583,0.631583,2.46427e+06,1.38442,1.38442,0,All,#4682B4,0
20,1,3.00486e+06,1.19391,1.19391,4.05744e+06,0.446244,0.446244,3.98806e+06,0.495463,0.495463,3.00486e+06,1.22693,1.22693,0,All,#4682B4,0
20,2,3.457e+06,1.35962,1.35962,4.20512e+06,0.786054,0.786054,4.16066e+06,0.819915,0.819915,3.457e+06,1.35203,1.35203,0,All,#4682B4,0
20,3,3.79865e+06,1.50387,1.50387,4.29692e+06,1.0232,1.0232,4.26938e+06,1.04517,1.04517,3.79865e+06,1.52992,1.52992,0,All,#4682B4,0
20,4,4.03622e+06,1.57584,1.57584,4.35298e+06,1.22372,1.22372,4.3362e+06,1.23768,1.23768,4.03622e+06,1.54674,1.54674,0,All,#4682B4,0
