rep,id,rho,kappa,psi,phi,beta,alpha,delta,theta,scaling,GROUP
3,13,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
4,13,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
5,13,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
6,13,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
7,13,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
8,13,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
9,13,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
10,13,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
1,14,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
2,14,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
3,14,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
4,14,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
5,14,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
6,14,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
7,14,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
8,14,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
9,14,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
10,14,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
1,15,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
2,15,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
3,15,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
4,15,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
5,15,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
6,15,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
7,15,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
8,15,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
9,15,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
10,15,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
1,16,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
2,16,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
3,16,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
4,16,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
5,16,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
6,16,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
7,16,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
8,16,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
9,16,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
10,16,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
1,17,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
2,17,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
3,17,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
4,17,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
5,17,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
6,17,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
7,17,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
8,17,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
9,17,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
10,17,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
1,18,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
2,18,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
3,18,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
4,18,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
5,18,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
6,18,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
7,18,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
8,18,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
9,18,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
10,18,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
1,19,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
2,19,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
3,19,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
4,19,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
5,19,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
6,19,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
7,19,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
8,19,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
9,19,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
10,19,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
1,20,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
2,20,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
3,20,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
4,20,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
5,20,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
6,20,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
7,20,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
8,20,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
9,20,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
10,20,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
